, format: day,hour,precipitation_form,humidity,precipitation,temperature
0, 1,0.0,3.0,77.0,0.1,-3.9
1, 1,100.0,0.0,76.0,0.0,-3.1
2, 1,200.0,0.0,72.0,0.0,-1.8
3, 1,300.0,0.0,66.0,0.0,-0.8
4, 1,400.0,0.0,65.0,0.0,-0.1
5, 1,500.0,0.0,64.0,0.0,0.3
6, 1,600.0,0.0,64.0,0.0,0.3
7, 1,700.0,0.0,65.0,0.0,0.2
8, 1,800.0,0.0,65.0,0.0,0.1
9, 1,900.0,0.0,65.0,0.0,0.0
10, 1,1000.0,0.0,68.0,0.0,0.0
11, 1,1100.0,0.0,71.0,0.0,-0.5
12, 1,1200.0,0.0,71.0,0.0,-0.8
13, 1,1300.0,0.0,70.0,0.0,-0.7
14, 1,1400.0,0.0,71.0,0.0,-0.6
15, 1,1500.0,0.0,72.0,0.0,-0.6
16, 1,1600.0,0.0,70.0,0.0,-0.5
17, 1,1700.0,0.0,69.0,0.0,-0.5
18, 1,1800.0,0.0,69.0,0.0,-0.5
19, 1,1900.0,0.0,67.0,0.0,-0.4
20, 1,2000.0,0.0,68.0,0.0,-0.4
21, 1,2100.0,0.0,65.0,0.0,-0.4
22, 1,2200.0,0.0,66.0,0.0,-0.2
23, 1,2300.0,0.0,66.0,0.0,0.1
24, 2,0.0,0.0,60.0,0.0,1.0
25, 2,100.0,0.0,56.0,0.0,1.9
26, 2,200.0,0.0,54.0,0.0,2.8
27, 2,300.0,0.0,56.0,0.0,3.6
28, 2,400.0,0.0,59.0,0.0,3.7
29, 2,500.0,0.0,57.0,0.0,3.8
30, 2,600.0,0.0,59.0,0.0,3.6
31, 2,700.0,0.0,64.0,0.0,3.2
32, 2,800.0,0.0,62.0,0.0,2.5
33, 2,900.0,0.0,63.0,0.0,1.8
34, 2,1000.0,0.0,67.0,0.0,0.9
35, 2,1100.0,0.0,69.0,0.0,0.3
36, 2,1200.0,0.0,73.0,0.0,0.1
37, 2,1300.0,0.0,74.0,0.0,-0.4
38, 2,1400.0,0.0,76.0,0.0,-0.1
39, 2,1500.0,0.0,80.0,0.0,-0.7
40, 2,1600.0,0.0,80.0,0.0,-1.1
41, 2,1700.0,0.0,81.0,0.0,-1.5
42, 2,1800.0,0.0,81.0,0.0,-1.7
43, 2,1900.0,0.0,83.0,0.0,-2.1
44, 2,2000.0,0.0,86.0,0.0,-2.6
45, 2,2100.0,0.0,87.0,0.0,-3.0
46, 2,2200.0,0.0,84.0,0.0,-3.3
47, 2,2300.0,0.0,70.0,0.0,-2.1
48, 3,0.0,0.0,60.0,0.0,-0.5
49, 3,100.0,0.0,44.0,0.0,0.8
50, 3,200.0,0.0,43.0,0.0,2.1
51, 3,300.0,0.0,36.0,0.0,3.2
52, 3,400.0,0.0,27.0,0.0,4.2
53, 3,500.0,0.0,29.0,0.0,4.0
54, 3,600.0,0.0,31.0,0.0,4.1
55, 3,700.0,0.0,35.0,0.0,3.0
56, 3,800.0,0.0,35.0,0.0,2.0
57, 3,900.0,0.0,40.0,0.0,1.1
58, 3,1000.0,0.0,45.0,0.0,0.2
59, 3,1100.0,0.0,47.0,0.0,-0.5
60, 3,1200.0,0.0,50.0,0.0,-0.7
61, 3,1300.0,0.0,54.0,0.0,-1.1
62, 3,1400.0,0.0,58.0,0.0,-1.4
63, 3,1500.0,0.0,60.0,0.0,-1.6
64, 3,1600.0,0.0,60.0,0.0,-1.8
65, 3,1700.0,0.0,61.0,0.0,-2.1
66, 3,1800.0,0.0,63.0,0.0,-2.4
67, 3,1900.0,0.0,65.0,0.0,-2.7
68, 3,2000.0,0.0,63.0,0.0,-2.1
69, 3,2100.0,0.0,63.0,0.0,-1.6
70, 3,2200.0,0.0,63.0,0.0,-1.6
71, 3,2300.0,0.0,60.0,0.0,-1.1
72, 4,0.0,0.0,53.0,0.0,0.5
73, 4,100.0,0.0,48.0,0.0,3.1
74, 4,200.0,0.0,50.0,0.0,4.4
75, 4,300.0,0.0,42.0,0.0,5.2
76, 4,400.0,0.0,36.0,0.0,5.9
77, 4,500.0,0.0,33.0,0.0,6.0
78, 4,600.0,0.0,35.0,0.0,5.7
79, 4,700.0,0.0,39.0,0.0,4.4
80, 4,800.0,0.0,42.0,0.0,3.3
81, 4,900.0,0.0,45.0,0.0,2.3
82, 4,1000.0,0.0,45.0,0.0,1.7
83, 4,1100.0,0.0,44.0,0.0,1.5
84, 4,1200.0,0.0,45.0,0.0,1.2
85, 4,1300.0,0.0,48.0,0.0,0.4
86, 4,1400.0,0.0,51.0,0.0,-0.1
87, 4,1500.0,0.0,52.0,0.0,-0.8
88, 4,1600.0,0.0,52.0,0.0,-1.6
89, 4,1700.0,0.0,56.0,0.0,-1.7
90, 4,1800.0,0.0,56.0,0.0,-2.2
91, 4,1900.0,0.0,57.0,0.0,-2.4
92, 4,2000.0,0.0,61.0,0.0,-2.6
93, 4,2100.0,0.0,59.0,0.0,-2.8
94, 4,2200.0,0.0,63.0,0.0,-2.9
95, 4,2300.0,0.0,55.0,0.0,-2.2
96, 5,0.0,0.0,49.0,0.0,0.2
97, 5,100.0,0.0,41.0,0.0,2.9
98, 5,200.0,0.0,34.0,0.0,4.7
99, 5,300.0,0.0,33.0,0.0,5.8
100, 5,400.0,0.0,30.0,0.0,6.2
101, 5,500.0,0.0,29.0,0.0,6.4
102, 5,600.0,0.0,29.0,0.0,5.7
